row_index,column,error_family,error_type,valeur_originale,valeur_bruitee_vue_par_llm,valeur_produite_par_llm,statut
322,Age,missing_values,missing_nan,30.0,,29.0,Mal corrigé (valeur différente mais fausse)
590,Age,missing_values,missing_whitespace,35.0, ,29.0,Mal corrigé (valeur différente mais fausse)
599,Age,missing_values,missing_N/A_string,49.0,,29.0,Mal corrigé (valeur différente mais fausse)
305,Age,missing_values,missing_whitespace,0.92, ,29.0,Mal corrigé (valeur différente mais fausse)
317,Age,missing_values,missing_nan,54.0,,29.0,Mal corrigé (valeur différente mais fausse)
823,Age,missing_values,missing_NA_string,27.0,,29.0,Mal corrigé (valeur différente mais fausse)
786,Age,missing_values,missing_unknown_string,18.0,unknown,29.0,Mal corrigé (valeur différente mais fausse)
796,Age,missing_values,missing_NA_string,49.0,,29.0,Mal corrigé (valeur différente mais fausse)
684,Age,missing_values,missing_NA_string,60.0,,29.0,Mal corrigé (valeur différente mais fausse)
420,Age,missing_values,missing_nan,,,29.0,Mal corrigé (valeur différente mais fausse)
837,Age,missing_values,missing_NA_string,,,29.0,Mal corrigé (valeur différente mais fausse)
353,Age,missing_values,missing_empty_string,25.0,,29.0,Mal corrigé (valeur différente mais fausse)
386,Age,missing_values,missing_empty_string,1.0,,29.0,Mal corrigé (valeur différente mais fausse)
693,Age,missing_values,missing_unknown_string,25.0,unknown,29.0,Mal corrigé (valeur différente mais fausse)
150,Age,missing_values,missing_N/A_string,51.0,,29.0,Mal corrigé (valeur différente mais fausse)
113,Age,missing_values,missing_N/A_string,20.0,,29.0,Mal corrigé (valeur différente mais fausse)
411,Age,missing_values,missing_NA_string,,,29.0,Mal corrigé (valeur différente mais fausse)
165,Age,missing_values,missing_whitespace,9.0, ,29.0,Mal corrigé (valeur différente mais fausse)
299,Age,missing_values,missing_nan,50.0,,29.0,Mal corrigé (valeur différente mais fausse)
639,Age,missing_values,missing_NA_string,,,29.0,Mal corrigé (valeur différente mais fausse)
497,Age,missing_values,missing_nan,,,29.0,Mal corrigé (valeur différente mais fausse)
737,Age,missing_values,missing_NA_string,35.0,,29.0,Mal corrigé (valeur différente mais fausse)
290,Age,missing_values,missing_whitespace,26.0, ,29.0,Mal corrigé (valeur différente mais fausse)
428,Age,missing_values,missing_NA_string,,,29.0,Mal corrigé (valeur différente mais fausse)
399,Age,missing_values,missing_whitespace,28.0, ,29.0,Mal corrigé (valeur différente mais fausse)
86,Age,missing_values,missing_NA_string,16.0,,29.0,Mal corrigé (valeur différente mais fausse)
375,Age,missing_values,missing_unknown_string,,unknown,29.0,Mal corrigé (valeur différente mais fausse)
142,Age,missing_values,missing_NA_string,24.0,,29.0,Mal corrigé (valeur différente mais fausse)
66,Age,missing_values,missing_empty_string,29.0,,29.0,Corrigé
646,Age,missing_values,missing_unknown_string,19.0,unknown,29.0,Mal corrigé (valeur différente mais fausse)
830,Age,missing_values,missing_whitespace,15.0, ,29.0,Mal corrigé (valeur différente mais fausse)
139,Age,missing_values,missing_empty_string,24.0,,29.0,Mal corrigé (valeur différente mais fausse)
663,Age,missing_values,missing_unknown_string,36.0,unknown,29.0,Mal corrigé (valeur différente mais fausse)
409,Age,missing_values,missing_empty_string,,,29.0,Mal corrigé (valeur différente mais fausse)
588,Age,missing_values,missing_unknown_string,22.0,unknown,29.0,Mal corrigé (valeur différente mais fausse)
76,Age,missing_values,missing_unknown_string,,unknown,29.0,Mal corrigé (valeur différente mais fausse)
564,Age,missing_values,missing_NA_string,,,29.0,Mal corrigé (valeur différente mais fausse)
695,Age,missing_values,missing_unknown_string,52.0,unknown,29.0,Mal corrigé (valeur différente mais fausse)
105,Age,missing_values,missing_empty_string,28.0,,29.0,Mal corrigé (valeur différente mais fausse)
591,Age,missing_values,missing_nan,52.0,,29.0,Mal corrigé (valeur différente mais fausse)
622,Age,missing_values,missing_nan,20.0,,29.0,Mal corrigé (valeur différente mais fausse)
57,Age,missing_values,missing_NA_string,28.5,,29.0,Mal corrigé (valeur différente mais fausse)
621,Age,missing_values,missing_whitespace,42.0, ,29.0,Mal corrigé (valeur différente mais fausse)
743,Age,missing_values,missing_nan,24.0,,29.0,Mal corrigé (valeur différente mais fausse)
426,Age,missing_values,missing_NA_string,28.0,,29.0,Mal corrigé (valeur différente mais fausse)
166,Age,missing_values,missing_unknown_string,,unknown,29.0,Mal corrigé (valeur différente mais fausse)
