row_index,column,original_value,injected_value,error_type,error_family,noise_level
322,Age,30.0,,missing_nan,missing_values,medium
590,Age,35.0, ,missing_whitespace,missing_values,medium
599,Age,49.0,N/A,missing_N/A_string,missing_values,medium
305,Age,0.92, ,missing_whitespace,missing_values,medium
317,Age,54.0,,missing_nan,missing_values,medium
823,Age,27.0,NA,missing_NA_string,missing_values,medium
786,Age,18.0,unknown,missing_unknown_string,missing_values,medium
796,Age,49.0,NA,missing_NA_string,missing_values,medium
684,Age,60.0,NA,missing_NA_string,missing_values,medium
420,Age,,,missing_nan,missing_values,medium
837,Age,,NA,missing_NA_string,missing_values,medium
353,Age,25.0,,missing_empty_string,missing_values,medium
386,Age,1.0,,missing_empty_string,missing_values,medium
693,Age,25.0,unknown,missing_unknown_string,missing_values,medium
150,Age,51.0,N/A,missing_N/A_string,missing_values,medium
113,Age,20.0,N/A,missing_N/A_string,missing_values,medium
411,Age,,NA,missing_NA_string,missing_values,medium
165,Age,9.0, ,missing_whitespace,missing_values,medium
299,Age,50.0,,missing_nan,missing_values,medium
639,Age,,NA,missing_NA_string,missing_values,medium
497,Age,,,missing_nan,missing_values,medium
737,Age,35.0,NA,missing_NA_string,missing_values,medium
290,Age,26.0, ,missing_whitespace,missing_values,medium
428,Age,,NA,missing_NA_string,missing_values,medium
399,Age,28.0, ,missing_whitespace,missing_values,medium
86,Age,16.0,NA,missing_NA_string,missing_values,medium
375,Age,,unknown,missing_unknown_string,missing_values,medium
142,Age,24.0,NA,missing_NA_string,missing_values,medium
66,Age,29.0,,missing_empty_string,missing_values,medium
646,Age,19.0,unknown,missing_unknown_string,missing_values,medium
830,Age,15.0, ,missing_whitespace,missing_values,medium
139,Age,24.0,,missing_empty_string,missing_values,medium
663,Age,36.0,unknown,missing_unknown_string,missing_values,medium
409,Age,,,missing_empty_string,missing_values,medium
588,Age,22.0,unknown,missing_unknown_string,missing_values,medium
76,Age,,unknown,missing_unknown_string,missing_values,medium
564,Age,,NA,missing_NA_string,missing_values,medium
695,Age,52.0,unknown,missing_unknown_string,missing_values,medium
105,Age,28.0,,missing_empty_string,missing_values,medium
591,Age,52.0,,missing_nan,missing_values,medium
622,Age,20.0,,missing_nan,missing_values,medium
57,Age,28.5,NA,missing_NA_string,missing_values,medium
621,Age,42.0, ,missing_whitespace,missing_values,medium
743,Age,24.0,,missing_nan,missing_values,medium
426,Age,28.0,NA,missing_NA_string,missing_values,medium
166,Age,,unknown,missing_unknown_string,missing_values,medium
333,Age,16.0,,missing_empty_string,missing_values,medium
682,Age,20.0,unknown,missing_unknown_string,missing_values,medium
189,Age,36.0,,missing_empty_string,missing_values,medium
453,Age,49.0,unknown,missing_unknown_string,missing_values,medium
531,Age,,N/A,missing_N/A_string,missing_values,medium
349,Age,42.0,N/A,missing_N/A_string,missing_values,medium
199,Age,24.0,,missing_empty_string,missing_values,medium
378,Age,20.0,NA,missing_NA_string,missing_values,medium
