row_index,column,error_family,error_type,valeur_originale,valeur_bruitee_vue_par_llm,valeur_produite_par_llm,statut
110654,country,missing_values,missing_unknown_string,SVN,unknown,,Colonne/ligne absente après exécution
66713,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
115315,country,missing_values,missing_NA_string,BRA,,,Colonne/ligne absente après exécution
30783,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
14764,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
83042,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
8054,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
25860,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
24038,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
74619,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
104175,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
33356,country,missing_values,missing_unknown_string,ESP,unknown,,Colonne/ligne absente après exécution
17010,country,missing_values,missing_empty_string,FRA,,,Colonne/ligne absente après exécution
53470,country,missing_values,missing_unknown_string,USA,unknown,,Colonne/ligne absente après exécution
105702,country,missing_values,missing_unknown_string,GBR,unknown,,Colonne/ligne absente après exécution
16721,country,missing_values,missing_NA_string,IRL,,,Colonne/ligne absente après exécution
8568,country,missing_values,missing_NA_string,GBR,,,Colonne/ligne absente après exécution
1551,country,missing_values,missing_whitespace,GBR, ,,Colonne/ligne absente après exécution
92436,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
112044,country,missing_values,missing_nan,CN,,,Colonne/ligne absente après exécution
33693,country,missing_values,missing_N/A_string,ESP,,,Colonne/ligne absente après exécution
71797,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
110341,country,missing_values,missing_N/A_string,FRA,,,Colonne/ligne absente après exécution
8091,country,missing_values,missing_nan,BRA,,,Colonne/ligne absente après exécution
9130,country,missing_values,missing_N/A_string,GBR,,,Colonne/ligne absente après exécution
58688,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
86125,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
68900,country,missing_values,missing_N/A_string,USA,,,Colonne/ligne absente après exécution
22663,country,missing_values,missing_NA_string,CN,,,Colonne/ligne absente après exécution
46241,country,missing_values,missing_N/A_string,ESP,,,Colonne/ligne absente après exécution
56725,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
4899,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
89470,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
49223,country,missing_values,missing_N/A_string,ESP,,,Colonne/ligne absente après exécution
54481,country,missing_values,missing_nan,ESP,,,Colonne/ligne absente après exécution
48986,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
25686,country,missing_values,missing_NA_string,USA,,,Colonne/ligne absente après exécution
37302,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
97646,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
70089,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
82909,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
39597,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
57107,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
71745,country,missing_values,missing_NA_string,ESP,,,Colonne/ligne absente après exécution
117913,country,missing_values,missing_unknown_string,POL,unknown,,Colonne/ligne absente après exécution
6133,country,missing_values,missing_unknown_string,GBR,unknown,,Colonne/ligne absente après exécution
18054,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
28400,country,missing_values,missing_NA_string,ESP,,,Colonne/ligne absente après exécution
50682,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
4007,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
95909,country,missing_values,missing_N/A_string,DEU,,,Colonne/ligne absente après exécution
87734,country,missing_values,missing_nan,FRA,,,Colonne/ligne absente après exécution
40332,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
15881,country,missing_values,missing_unknown_string,IRL,unknown,,Colonne/ligne absente après exécution
85895,country,missing_values,missing_N/A_string,GBR,,,Colonne/ligne absente après exécution
63893,country,missing_values,missing_whitespace,LUX, ,,Colonne/ligne absente après exécution
67433,country,missing_values,missing_unknown_string,JPN,unknown,,Colonne/ligne absente après exécution
74475,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
115864,country,missing_values,missing_whitespace,DEU, ,,Colonne/ligne absente après exécution
89882,country,missing_values,missing_NA_string,DEU,,,Colonne/ligne absente après exécution
103789,country,missing_values,missing_unknown_string,FRA,unknown,,Colonne/ligne absente après exécution
70486,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
68372,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
42336,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
61044,country,missing_values,missing_nan,FRA,,,Colonne/ligne absente après exécution
25783,country,missing_values,missing_N/A_string,BEL,,,Colonne/ligne absente après exécution
2224,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
59421,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
24533,country,missing_values,missing_nan,IRL,,,Colonne/ligne absente après exécution
28765,country,missing_values,missing_N/A_string,GBR,,,Colonne/ligne absente après exécution
115408,country,missing_values,missing_nan,DEU,,,Colonne/ligne absente après exécution
26809,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
64221,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
33271,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
91837,country,missing_values,missing_N/A_string,GBR,,,Colonne/ligne absente après exécution
26642,country,missing_values,missing_whitespace,ESP, ,,Colonne/ligne absente après exécution
68873,country,missing_values,missing_whitespace,IRL, ,,Colonne/ligne absente après exécution
106718,country,missing_values,missing_NA_string,DEU,,,Colonne/ligne absente après exécution
12262,country,missing_values,missing_unknown_string,SWE,unknown,,Colonne/ligne absente après exécution
4939,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
115479,country,missing_values,missing_whitespace,GBR, ,,Colonne/ligne absente après exécution
94355,country,missing_values,missing_NA_string,DEU,,,Colonne/ligne absente après exécution
69232,country,missing_values,missing_unknown_string,DEU,unknown,,Colonne/ligne absente après exécution
87885,country,missing_values,missing_whitespace,TUN, ,,Colonne/ligne absente après exécution
78452,country,missing_values,missing_unknown_string,DEU,unknown,,Colonne/ligne absente après exécution
117291,country,missing_values,missing_whitespace,NLD, ,,Colonne/ligne absente après exécution
53818,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
18206,country,missing_values,missing_empty_string,CHL,,,Colonne/ligne absente après exécution
51309,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
60383,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
33438,country,missing_values,missing_nan,FIN,,,Colonne/ligne absente après exécution
32514,country,missing_values,missing_unknown_string,ESP,unknown,,Colonne/ligne absente après exécution
88397,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
80320,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
112517,country,missing_values,missing_nan,FRA,,,Colonne/ligne absente après exécution
1003,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
75512,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
50091,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
57330,country,missing_values,missing_unknown_string,CHN,unknown,,Colonne/ligne absente après exécution
31501,country,missing_values,missing_unknown_string,IRL,unknown,,Colonne/ligne absente après exécution
115017,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
110091,country,missing_values,missing_NA_string,USA,,,Colonne/ligne absente après exécution
85598,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
83589,country,missing_values,missing_N/A_string,FRA,,,Colonne/ligne absente après exécution
94921,country,missing_values,missing_whitespace,CN, ,,Colonne/ligne absente après exécution
85823,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
69468,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
63953,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
60004,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
28411,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
67343,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
29318,country,missing_values,missing_nan,SWE,,,Colonne/ligne absente après exécution
59395,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
56903,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
59517,country,missing_values,missing_nan,ESP,,,Colonne/ligne absente après exécution
11272,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
61018,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
103392,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
115735,country,missing_values,missing_whitespace,DEU, ,,Colonne/ligne absente après exécution
110822,country,missing_values,missing_empty_string,DEU,,,Colonne/ligne absente après exécution
82491,country,missing_values,missing_empty_string,FRA,,,Colonne/ligne absente après exécution
31436,country,missing_values,missing_NA_string,GBR,,,Colonne/ligne absente après exécution
62402,country,missing_values,missing_NA_string,BRA,,,Colonne/ligne absente après exécution
67076,country,missing_values,missing_nan,ITA,,,Colonne/ligne absente après exécution
14686,country,missing_values,missing_NA_string,GBR,,,Colonne/ligne absente après exécution
68357,country,missing_values,missing_empty_string,CHE,,,Colonne/ligne absente après exécution
60111,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
112861,country,missing_values,missing_empty_string,FRA,,,Colonne/ligne absente après exécution
28812,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
50011,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
88691,country,missing_values,missing_whitespace,ARG, ,,Colonne/ligne absente après exécution
85832,country,missing_values,missing_NA_string,ESP,,,Colonne/ligne absente après exécution
84146,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
14886,country,missing_values,missing_NA_string,BEL,,,Colonne/ligne absente après exécution
75620,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
2938,country,missing_values,missing_empty_string,DEU,,,Colonne/ligne absente après exécution
58112,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
89648,country,missing_values,missing_unknown_string,GBR,unknown,,Colonne/ligne absente après exécution
108514,country,missing_values,missing_empty_string,FRA,,,Colonne/ligne absente après exécution
6576,country,missing_values,missing_unknown_string,GBR,unknown,,Colonne/ligne absente après exécution
103354,country,missing_values,missing_NA_string,NLD,,,Colonne/ligne absente après exécution
56935,country,missing_values,missing_NA_string,CHN,,,Colonne/ligne absente après exécution
115139,country,missing_values,missing_NA_string,DEU,,,Colonne/ligne absente après exécution
90463,country,missing_values,missing_unknown_string,USA,unknown,,Colonne/ligne absente après exécution
15301,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
12546,country,missing_values,missing_unknown_string,NOR,unknown,,Colonne/ligne absente après exécution
32072,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
83620,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
75275,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
113021,country,missing_values,missing_unknown_string,GBR,unknown,,Colonne/ligne absente après exécution
56964,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
91177,country,missing_values,missing_NA_string,ITA,,,Colonne/ligne absente après exécution
57638,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
55711,country,missing_values,missing_unknown_string,IRL,unknown,,Colonne/ligne absente après exécution
34599,country,missing_values,missing_NA_string,FRA,,,Colonne/ligne absente après exécution
63328,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
91275,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
104001,country,missing_values,missing_empty_string,FRA,,,Colonne/ligne absente après exécution
12658,country,missing_values,missing_empty_string,CHE,,,Colonne/ligne absente après exécution
9131,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
103394,country,missing_values,missing_N/A_string,CHN,,,Colonne/ligne absente après exécution
90692,country,missing_values,missing_unknown_string,SWE,unknown,,Colonne/ligne absente après exécution
79812,country,missing_values,missing_NA_string,FRA,,,Colonne/ligne absente après exécution
17008,country,missing_values,missing_nan,FRA,,,Colonne/ligne absente après exécution
51518,country,missing_values,missing_N/A_string,FRA,,,Colonne/ligne absente après exécution
28041,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
41809,country,missing_values,missing_whitespace,ESP, ,,Colonne/ligne absente après exécution
4523,country,missing_values,missing_unknown_string,IRL,unknown,,Colonne/ligne absente après exécution
40928,country,missing_values,missing_empty_string,ESP,,,Colonne/ligne absente après exécution
53003,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
38459,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
103298,country,missing_values,missing_NA_string,FRA,,,Colonne/ligne absente après exécution
76660,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
84507,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
109354,country,missing_values,missing_nan,NLD,,,Colonne/ligne absente après exécution
24054,country,missing_values,missing_N/A_string,ESP,,,Colonne/ligne absente après exécution
23074,country,missing_values,missing_N/A_string,GBR,,,Colonne/ligne absente après exécution
33532,country,missing_values,missing_empty_string,GBR,,,Colonne/ligne absente après exécution
22032,country,missing_values,missing_unknown_string,IRL,unknown,,Colonne/ligne absente après exécution
116969,country,missing_values,missing_nan,FRA,,,Colonne/ligne absente après exécution
105775,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
76688,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
2248,country,missing_values,missing_N/A_string,GBR,,,Colonne/ligne absente après exécution
18987,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
47329,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
65377,country,missing_values,missing_empty_string,DEU,,,Colonne/ligne absente après exécution
58751,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
51428,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
11962,country,missing_values,missing_NA_string,IRL,,,Colonne/ligne absente après exécution
17827,country,missing_values,missing_unknown_string,FRA,unknown,,Colonne/ligne absente après exécution
115858,country,missing_values,missing_empty_string,CHN,,,Colonne/ligne absente après exécution
16681,country,missing_values,missing_whitespace,CZE, ,,Colonne/ligne absente après exécution
50897,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
12856,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
62076,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
31154,country,missing_values,missing_unknown_string,ESP,unknown,,Colonne/ligne absente après exécution
60056,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
68584,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
65342,country,missing_values,missing_empty_string,GBR,,,Colonne/ligne absente après exécution
21007,country,missing_values,missing_N/A_string,ESP,,,Colonne/ligne absente après exécution
23196,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
13811,country,missing_values,missing_NA_string,,,,Colonne/ligne absente après exécution
13362,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
77031,country,missing_values,missing_nan,DEU,,,Colonne/ligne absente après exécution
50458,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
88952,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
39878,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
35755,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
62406,country,missing_values,missing_empty_string,AUS,,,Colonne/ligne absente après exécution
72458,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
106732,country,missing_values,missing_unknown_string,DEU,unknown,,Colonne/ligne absente après exécution
79071,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
74729,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
69552,country,missing_values,missing_unknown_string,ARG,unknown,,Colonne/ligne absente après exécution
30936,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
3301,country,missing_values,missing_N/A_string,ESP,,,Colonne/ligne absente après exécution
61386,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
64777,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
50625,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
27181,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
100769,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
59699,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
48038,country,missing_values,missing_empty_string,IRL,,,Colonne/ligne absente après exécution
55314,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
71208,country,missing_values,missing_nan,NOR,,,Colonne/ligne absente après exécution
62604,country,missing_values,missing_nan,AGO,,,Colonne/ligne absente après exécution
90637,country,missing_values,missing_N/A_string,SWE,,,Colonne/ligne absente après exécution
88380,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
67091,country,missing_values,missing_nan,IRL,,,Colonne/ligne absente après exécution
4667,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
45915,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
27056,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
103496,country,missing_values,missing_unknown_string,DZA,unknown,,Colonne/ligne absente après exécution
109672,country,missing_values,missing_N/A_string,DEU,,,Colonne/ligne absente après exécution
10782,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
92998,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
91201,country,missing_values,missing_empty_string,FRA,,,Colonne/ligne absente après exécution
115302,country,missing_values,missing_whitespace,GBR, ,,Colonne/ligne absente après exécution
73281,country,missing_values,missing_NA_string,GBR,,,Colonne/ligne absente après exécution
84573,country,missing_values,missing_nan,NOR,,,Colonne/ligne absente après exécution
103448,country,missing_values,missing_unknown_string,BEL,unknown,,Colonne/ligne absente après exécution
111241,country,missing_values,missing_unknown_string,FRA,unknown,,Colonne/ligne absente après exécution
76164,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
23636,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
94300,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
101379,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
75833,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
95765,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
11351,country,missing_values,missing_N/A_string,IRL,,,Colonne/ligne absente après exécution
49787,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
16201,country,missing_values,missing_whitespace,GBR, ,,Colonne/ligne absente après exécution
61111,country,missing_values,missing_unknown_string,CHE,unknown,,Colonne/ligne absente après exécution
69283,country,missing_values,missing_NA_string,SWE,,,Colonne/ligne absente après exécution
29159,country,missing_values,missing_NA_string,GBR,,,Colonne/ligne absente après exécution
65982,country,missing_values,missing_nan,DEU,,,Colonne/ligne absente après exécution
35847,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
101143,country,missing_values,missing_N/A_string,FRA,,,Colonne/ligne absente après exécution
40605,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
29361,country,missing_values,missing_N/A_string,GBR,,,Colonne/ligne absente après exécution
21374,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
8132,country,missing_values,missing_nan,NLD,,,Colonne/ligne absente après exécution
50987,country,missing_values,missing_N/A_string,JPN,,,Colonne/ligne absente après exécution
95277,country,missing_values,missing_N/A_string,ITA,,,Colonne/ligne absente après exécution
55216,country,missing_values,missing_unknown_string,FRA,unknown,,Colonne/ligne absente après exécution
95508,country,missing_values,missing_empty_string,DEU,,,Colonne/ligne absente après exécution
94143,country,missing_values,missing_N/A_string,ITA,,,Colonne/ligne absente après exécution
97909,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
10383,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
24907,country,missing_values,missing_whitespace,IRL, ,,Colonne/ligne absente après exécution
59189,country,missing_values,missing_unknown_string,ITA,unknown,,Colonne/ligne absente après exécution
66980,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
70382,country,missing_values,missing_whitespace,CHN, ,,Colonne/ligne absente après exécution
36022,country,missing_values,missing_whitespace,IRL, ,,Colonne/ligne absente après exécution
35858,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
88655,country,missing_values,missing_whitespace,ITA, ,,Colonne/ligne absente après exécution
32142,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
95205,country,missing_values,missing_nan,CN,,,Colonne/ligne absente après exécution
72279,country,missing_values,missing_nan,ESP,,,Colonne/ligne absente après exécution
42045,country,missing_values,missing_NA_string,ESP,,,Colonne/ligne absente après exécution
85304,country,missing_values,missing_whitespace,CHE, ,,Colonne/ligne absente après exécution
55802,country,missing_values,missing_N/A_string,FRA,,,Colonne/ligne absente après exécution
108639,country,missing_values,missing_N/A_string,ESP,,,Colonne/ligne absente après exécution
110944,country,missing_values,missing_nan,DEU,,,Colonne/ligne absente après exécution
26736,country,missing_values,missing_N/A_string,NLD,,,Colonne/ligne absente après exécution
78480,country,missing_values,missing_NA_string,JPN,,,Colonne/ligne absente après exécution
73985,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
51025,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
17067,country,missing_values,missing_empty_string,GBR,,,Colonne/ligne absente après exécution
53452,country,missing_values,missing_whitespace,ESP, ,,Colonne/ligne absente après exécution
39456,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
48867,country,missing_values,missing_NA_string,CHN,,,Colonne/ligne absente après exécution
116730,country,missing_values,missing_nan,DEU,,,Colonne/ligne absente après exécution
112972,country,missing_values,missing_unknown_string,NLD,unknown,,Colonne/ligne absente après exécution
77675,country,missing_values,missing_NA_string,ITA,,,Colonne/ligne absente après exécution
113811,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
91102,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
32641,country,missing_values,missing_nan,ITA,,,Colonne/ligne absente après exécution
74986,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
54390,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
44183,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
33859,country,missing_values,missing_nan,BEL,,,Colonne/ligne absente après exécution
37792,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
36013,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
21756,country,missing_values,missing_N/A_string,ESP,,,Colonne/ligne absente après exécution
45132,country,missing_values,missing_NA_string,CN,,,Colonne/ligne absente après exécution
32353,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
26800,country,missing_values,missing_unknown_string,PRT,unknown,,Colonne/ligne absente après exécution
85538,country,missing_values,missing_empty_string,BGR,,,Colonne/ligne absente après exécution
65083,country,missing_values,missing_NA_string,PRT,,,Colonne/ligne absente après exécution
110902,country,missing_values,missing_whitespace,BEL, ,,Colonne/ligne absente après exécution
52961,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
77216,country,missing_values,missing_empty_string,CN,,,Colonne/ligne absente après exécution
54726,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
73173,country,missing_values,missing_N/A_string,BEL,,,Colonne/ligne absente après exécution
69414,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
119003,country,missing_values,missing_whitespace,DEU, ,,Colonne/ligne absente après exécution
110850,country,missing_values,missing_nan,USA,,,Colonne/ligne absente après exécution
55367,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
87910,country,missing_values,missing_N/A_string,BEL,,,Colonne/ligne absente après exécution
81361,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
36380,country,missing_values,missing_nan,GBR,,,Colonne/ligne absente après exécution
6741,country,missing_values,missing_nan,PRT,,,Colonne/ligne absente après exécution
39591,country,missing_values,missing_empty_string,USA,,,Colonne/ligne absente après exécution
89490,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
109790,country,missing_values,missing_N/A_string,NLD,,,Colonne/ligne absente après exécution
76011,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
94724,country,missing_values,missing_unknown_string,ROU,unknown,,Colonne/ligne absente après exécution
78344,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
36551,country,missing_values,missing_empty_string,USA,,,Colonne/ligne absente après exécution
54834,country,missing_values,missing_empty_string,FRA,,,Colonne/ligne absente après exécution
66338,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
60827,country,missing_values,missing_whitespace,FRA, ,,Colonne/ligne absente après exécution
79322,country,missing_values,missing_empty_string,ESP,,,Colonne/ligne absente après exécution
81946,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
73828,country,missing_values,missing_whitespace,PRT, ,,Colonne/ligne absente après exécution
65237,country,missing_values,missing_N/A_string,PRT,,,Colonne/ligne absente après exécution
86225,country,missing_values,missing_empty_string,PRT,,,Colonne/ligne absente après exécution
44617,country,missing_values,missing_whitespace,AUT, ,,Colonne/ligne absente après exécution
96025,country,missing_values,missing_empty_string,FRA,,,Colonne/ligne absente après exécution
