row_index,column,error_family,error_type,valeur_originale,valeur_bruitee_vue_par_llm,valeur_produite_par_llm,statut
110654,country,missing_values,missing_unknown_string,SVN,unknown,PRT,Mal corrigé (valeur différente mais fausse)
66713,country,missing_values,missing_empty_string,PRT,,PRT,Corrigé
115315,country,missing_values,missing_NA_string,BRA,,PRT,Mal corrigé (valeur différente mais fausse)
30783,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
14764,country,missing_values,missing_nan,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
83042,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
8054,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
25860,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
24038,country,missing_values,missing_whitespace,FRA, ,PRT,Mal corrigé (valeur différente mais fausse)
74619,country,missing_values,missing_empty_string,PRT,,PRT,Corrigé
104175,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
33356,country,missing_values,missing_unknown_string,ESP,unknown,PRT,Mal corrigé (valeur différente mais fausse)
17010,country,missing_values,missing_empty_string,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
53470,country,missing_values,missing_unknown_string,USA,unknown,PRT,Mal corrigé (valeur différente mais fausse)
105702,country,missing_values,missing_unknown_string,GBR,unknown,PRT,Mal corrigé (valeur différente mais fausse)
16721,country,missing_values,missing_NA_string,IRL,,PRT,Mal corrigé (valeur différente mais fausse)
8568,country,missing_values,missing_NA_string,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
1551,country,missing_values,missing_whitespace,GBR, ,PRT,Mal corrigé (valeur différente mais fausse)
92436,country,missing_values,missing_nan,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
112044,country,missing_values,missing_nan,CN,,PRT,Mal corrigé (valeur différente mais fausse)
33693,country,missing_values,missing_N/A_string,ESP,,PRT,Mal corrigé (valeur différente mais fausse)
71797,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
110341,country,missing_values,missing_N/A_string,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
8091,country,missing_values,missing_nan,BRA,,PRT,Mal corrigé (valeur différente mais fausse)
9130,country,missing_values,missing_N/A_string,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
58688,country,missing_values,missing_empty_string,PRT,,PRT,Corrigé
86125,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
68900,country,missing_values,missing_N/A_string,USA,,PRT,Mal corrigé (valeur différente mais fausse)
22663,country,missing_values,missing_NA_string,CN,,PRT,Mal corrigé (valeur différente mais fausse)
46241,country,missing_values,missing_N/A_string,ESP,,PRT,Mal corrigé (valeur différente mais fausse)
56725,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
4899,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
89470,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
49223,country,missing_values,missing_N/A_string,ESP,,PRT,Mal corrigé (valeur différente mais fausse)
54481,country,missing_values,missing_nan,ESP,,PRT,Mal corrigé (valeur différente mais fausse)
48986,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
25686,country,missing_values,missing_NA_string,USA,,PRT,Mal corrigé (valeur différente mais fausse)
37302,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
97646,country,missing_values,missing_whitespace,FRA, ,PRT,Mal corrigé (valeur différente mais fausse)
70089,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
82909,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
39597,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
57107,country,missing_values,missing_nan,PRT,,PRT,Corrigé
71745,country,missing_values,missing_NA_string,ESP,,PRT,Mal corrigé (valeur différente mais fausse)
117913,country,missing_values,missing_unknown_string,POL,unknown,PRT,Mal corrigé (valeur différente mais fausse)
6133,country,missing_values,missing_unknown_string,GBR,unknown,PRT,Mal corrigé (valeur différente mais fausse)
18054,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
28400,country,missing_values,missing_NA_string,ESP,,PRT,Mal corrigé (valeur différente mais fausse)
50682,country,missing_values,missing_whitespace,FRA, ,PRT,Mal corrigé (valeur différente mais fausse)
4007,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
95909,country,missing_values,missing_N/A_string,DEU,,PRT,Mal corrigé (valeur différente mais fausse)
87734,country,missing_values,missing_nan,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
40332,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
15881,country,missing_values,missing_unknown_string,IRL,unknown,PRT,Mal corrigé (valeur différente mais fausse)
85895,country,missing_values,missing_N/A_string,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
63893,country,missing_values,missing_whitespace,LUX, ,PRT,Mal corrigé (valeur différente mais fausse)
67433,country,missing_values,missing_unknown_string,JPN,unknown,PRT,Mal corrigé (valeur différente mais fausse)
74475,country,missing_values,missing_nan,PRT,,PRT,Corrigé
115864,country,missing_values,missing_whitespace,DEU, ,PRT,Mal corrigé (valeur différente mais fausse)
89882,country,missing_values,missing_NA_string,DEU,,PRT,Mal corrigé (valeur différente mais fausse)
103789,country,missing_values,missing_unknown_string,FRA,unknown,PRT,Mal corrigé (valeur différente mais fausse)
70486,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
68372,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
42336,country,missing_values,missing_nan,PRT,,PRT,Corrigé
61044,country,missing_values,missing_nan,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
25783,country,missing_values,missing_N/A_string,BEL,,PRT,Mal corrigé (valeur différente mais fausse)
2224,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
59421,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
24533,country,missing_values,missing_nan,IRL,,PRT,Mal corrigé (valeur différente mais fausse)
28765,country,missing_values,missing_N/A_string,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
115408,country,missing_values,missing_nan,DEU,,PRT,Mal corrigé (valeur différente mais fausse)
26809,country,missing_values,missing_nan,PRT,,PRT,Corrigé
64221,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
33271,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
91837,country,missing_values,missing_N/A_string,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
26642,country,missing_values,missing_whitespace,ESP, ,PRT,Mal corrigé (valeur différente mais fausse)
68873,country,missing_values,missing_whitespace,IRL, ,PRT,Mal corrigé (valeur différente mais fausse)
106718,country,missing_values,missing_NA_string,DEU,,PRT,Mal corrigé (valeur différente mais fausse)
12262,country,missing_values,missing_unknown_string,SWE,unknown,PRT,Mal corrigé (valeur différente mais fausse)
4939,country,missing_values,missing_nan,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
115479,country,missing_values,missing_whitespace,GBR, ,PRT,Mal corrigé (valeur différente mais fausse)
94355,country,missing_values,missing_NA_string,DEU,,PRT,Mal corrigé (valeur différente mais fausse)
69232,country,missing_values,missing_unknown_string,DEU,unknown,PRT,Mal corrigé (valeur différente mais fausse)
87885,country,missing_values,missing_whitespace,TUN, ,PRT,Mal corrigé (valeur différente mais fausse)
78452,country,missing_values,missing_unknown_string,DEU,unknown,PRT,Mal corrigé (valeur différente mais fausse)
117291,country,missing_values,missing_whitespace,NLD, ,PRT,Mal corrigé (valeur différente mais fausse)
53818,country,missing_values,missing_nan,PRT,,PRT,Corrigé
18206,country,missing_values,missing_empty_string,CHL,,PRT,Mal corrigé (valeur différente mais fausse)
51309,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
60383,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
33438,country,missing_values,missing_nan,FIN,,PRT,Mal corrigé (valeur différente mais fausse)
32514,country,missing_values,missing_unknown_string,ESP,unknown,PRT,Mal corrigé (valeur différente mais fausse)
88397,country,missing_values,missing_nan,PRT,,PRT,Corrigé
80320,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
112517,country,missing_values,missing_nan,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
1003,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
75512,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
50091,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
57330,country,missing_values,missing_unknown_string,CHN,unknown,PRT,Mal corrigé (valeur différente mais fausse)
31501,country,missing_values,missing_unknown_string,IRL,unknown,PRT,Mal corrigé (valeur différente mais fausse)
115017,country,missing_values,missing_whitespace,FRA, ,PRT,Mal corrigé (valeur différente mais fausse)
110091,country,missing_values,missing_NA_string,USA,,PRT,Mal corrigé (valeur différente mais fausse)
85598,country,missing_values,missing_whitespace,FRA, ,PRT,Mal corrigé (valeur différente mais fausse)
83589,country,missing_values,missing_N/A_string,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
94921,country,missing_values,missing_whitespace,CN, ,PRT,Mal corrigé (valeur différente mais fausse)
85823,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
69468,country,missing_values,missing_nan,PRT,,PRT,Corrigé
63953,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
60004,country,missing_values,missing_whitespace,FRA, ,PRT,Mal corrigé (valeur différente mais fausse)
28411,country,missing_values,missing_nan,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
67343,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
29318,country,missing_values,missing_nan,SWE,,PRT,Mal corrigé (valeur différente mais fausse)
59395,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
56903,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
59517,country,missing_values,missing_nan,ESP,,PRT,Mal corrigé (valeur différente mais fausse)
11272,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
61018,country,missing_values,missing_nan,PRT,,PRT,Corrigé
103392,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
115735,country,missing_values,missing_whitespace,DEU, ,PRT,Mal corrigé (valeur différente mais fausse)
110822,country,missing_values,missing_empty_string,DEU,,PRT,Mal corrigé (valeur différente mais fausse)
82491,country,missing_values,missing_empty_string,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
31436,country,missing_values,missing_NA_string,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
62402,country,missing_values,missing_NA_string,BRA,,PRT,Mal corrigé (valeur différente mais fausse)
67076,country,missing_values,missing_nan,ITA,,PRT,Mal corrigé (valeur différente mais fausse)
14686,country,missing_values,missing_NA_string,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
68357,country,missing_values,missing_empty_string,CHE,,PRT,Mal corrigé (valeur différente mais fausse)
60111,country,missing_values,missing_nan,PRT,,PRT,Corrigé
112861,country,missing_values,missing_empty_string,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
28812,country,missing_values,missing_nan,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
50011,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
88691,country,missing_values,missing_whitespace,ARG, ,PRT,Mal corrigé (valeur différente mais fausse)
85832,country,missing_values,missing_NA_string,ESP,,PRT,Mal corrigé (valeur différente mais fausse)
84146,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
14886,country,missing_values,missing_NA_string,BEL,,PRT,Mal corrigé (valeur différente mais fausse)
75620,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
2938,country,missing_values,missing_empty_string,DEU,,PRT,Mal corrigé (valeur différente mais fausse)
58112,country,missing_values,missing_empty_string,PRT,,PRT,Corrigé
89648,country,missing_values,missing_unknown_string,GBR,unknown,PRT,Mal corrigé (valeur différente mais fausse)
108514,country,missing_values,missing_empty_string,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
6576,country,missing_values,missing_unknown_string,GBR,unknown,PRT,Mal corrigé (valeur différente mais fausse)
103354,country,missing_values,missing_NA_string,NLD,,PRT,Mal corrigé (valeur différente mais fausse)
56935,country,missing_values,missing_NA_string,CHN,,PRT,Mal corrigé (valeur différente mais fausse)
115139,country,missing_values,missing_NA_string,DEU,,PRT,Mal corrigé (valeur différente mais fausse)
90463,country,missing_values,missing_unknown_string,USA,unknown,PRT,Mal corrigé (valeur différente mais fausse)
15301,country,missing_values,missing_nan,PRT,,PRT,Corrigé
12546,country,missing_values,missing_unknown_string,NOR,unknown,PRT,Mal corrigé (valeur différente mais fausse)
32072,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
83620,country,missing_values,missing_unknown_string,PRT,unknown,PRT,Corrigé
75275,country,missing_values,missing_whitespace,PRT, ,PRT,Corrigé
113021,country,missing_values,missing_unknown_string,GBR,unknown,PRT,Mal corrigé (valeur différente mais fausse)
56964,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
91177,country,missing_values,missing_NA_string,ITA,,PRT,Mal corrigé (valeur différente mais fausse)
57638,country,missing_values,missing_NA_string,PRT,,PRT,Corrigé
55711,country,missing_values,missing_unknown_string,IRL,unknown,PRT,Mal corrigé (valeur différente mais fausse)
34599,country,missing_values,missing_NA_string,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
63328,country,missing_values,missing_N/A_string,PRT,,PRT,Corrigé
91275,country,missing_values,missing_nan,GBR,,PRT,Mal corrigé (valeur différente mais fausse)
104001,country,missing_values,missing_empty_string,FRA,,PRT,Mal corrigé (valeur différente mais fausse)
